id,question,answer
sess-xzer4a,2025-09-25T15:39:49.502Z,61,559.51,394.71,0,0,human
sess-bot-0,2025-09-25T16:24:51.941Z,45,1207.16,5.99,5,1,bot
sess-bot-1,2025-09-25T16:24:51.974Z,17,626.02,412.07,7,5,bot
sess-bot-2,2025-09-25T16:24:51.978Z,16,872.58,207.25,2,4,bot
sess-bot-3,2025-09-25T16:24:51.981Z,19,742.27,365.22,6,4,bot
sess-bot-4,2025-09-25T16:24:51.985Z,49,411.82,131.66,5,4,bot
sess-bot-5,2025-09-25T16:24:51.988Z,34,799.85,389.61,8,3,bot
sess-bot-6,2025-09-25T16:24:51.990Z,161,1158.71,286.67,9,2,bot
sess-bot-7,2025-09-25T16:24:51.993Z,72,1146.08,221.97,10,3,bot
sess-bot-8,2025-09-25T16:24:51.995Z,138,807.27,426.06,1,5,bot
sess-bot-9,2025-09-25T16:24:51.998Z,8,1487.69,40.06,3,0,bot
sess-gh5ry2,2025-09-25T16:28:37.835Z,577,7344.64,1215.18,0,2,human
sess-4tsae7,2025-09-25T16:35:01.299Z,186,4014.10,715.88,8,4,human
sess-blcf6b,2025-09-25T16:35:45.428Z,112,509.63,0.00,0,0,human
sess-zgorty,2025-09-25T16:44:33.210Z,76,588.81,429.66,0,0,human
sess-bot-0,2025-09-25T16:47:57.561Z,198,1029.95,21.92,10,1,bot
sess-bot-1,2025-09-25T16:47:57.605Z,12,478.22,33.94,7,0,bot
sess-bot-2,2025-09-25T16:47:57.608Z,127,167.64,444.22,2,2,bot
sess-bot-3,2025-09-25T16:47:57.611Z,175,207.48,363.88,8,1,bot
sess-bot-4,2025-09-25T16:47:57.613Z,1,1087.69,231.95,6,3,bot
sess-bot-5,2025-09-25T16:47:57.619Z,30,478.72,159.11,7,2,bot
sess-bot-6,2025-09-25T16:47:57.679Z,121,403.01,205.92,10,5,bot
sess-bot-7,2025-09-25T16:47:57.683Z,145,1389.05,469.18,2,2,bot
sess-bot-8,2025-09-25T16:47:57.695Z,45,1035.86,159.05,3,0,bot
sess-bot-9,2025-09-25T16:47:57.699Z,37,354.11,301.07,4,2,bot
sess-bot-10,2025-09-25T16:47:57.702Z,91,86.16,346.42,7,3,bot
sess-bot-11,2025-09-25T16:47:57.704Z,200,1016.46,68.16,2,2,bot
sess-bot-12,2025-09-25T16:47:57.705Z,66,13.42,371.54,8,5,bot
sess-bot-13,2025-09-25T16:47:57.707Z,197,1054.62,458.52,10,1,bot
sess-bot-14,2025-09-25T16:47:57.709Z,7,479.44,497.98,8,1,bot
sess-bot-15,2025-09-25T16:47:57.711Z,54,370.13,279.35,0,1,bot
sess-bot-16,2025-09-25T16:47:57.713Z,9,844.28,44.61,0,5,bot
sess-bot-17,2025-09-25T16:47:57.715Z,97,1067.05,146.16,5,0,bot
sess-bot-18,2025-09-25T16:47:57.718Z,41,272.83,126.78,5,0,bot
sess-bot-19,2025-09-25T16:47:57.720Z,104,189.51,82.23,7,0,bot
sess-bot-20,2025-09-25T16:47:57.722Z,13,857.89,419.19,10,3,bot
sess-bot-21,2025-09-25T16:47:57.723Z,194,1343.79,244.92,10,2,bot
sess-bot-22,2025-09-25T16:47:57.726Z,180,406.97,427.83,9,4,bot
sess-bot-23,2025-09-25T16:47:57.728Z,46,1364.35,79.45,0,0,bot
sess-bot-24,2025-09-25T16:47:57.730Z,178,970.76,115.16,1,5,bot
sess-bot-25,2025-09-25T16:47:57.733Z,59,1028.93,248.07,6,3,bot
sess-bot-26,2025-09-25T16:47:57.735Z,14,1360.80,154.42,2,2,bot
sess-bot-27,2025-09-25T16:47:57.738Z,89,979.46,445.20,1,1,bot
sess-bot-28,2025-09-25T16:47:57.741Z,150,629.39,493.53,0,2,bot
sess-bot-29,2025-09-25T16:47:57.744Z,164,770.11,276.47,10,0,bot
sess-bot-30,2025-09-25T16:47:57.745Z,198,499.11,236.53,3,4,bot
sess-bot-31,2025-09-25T16:47:57.750Z,160,1323.09,260.46,0,2,bot
sess-bot-32,2025-09-25T16:47:57.753Z,19,1028.44,369.97,5,4,bot
sess-bot-33,2025-09-25T16:47:57.756Z,123,487.33,64.46,2,1,bot
sess-bot-34,2025-09-25T16:47:57.758Z,132,338.55,55.38,6,1,bot
sess-bot-35,2025-09-25T16:47:57.760Z,198,235.62,152.70,4,1,bot
sess-bot-36,2025-09-25T16:47:57.762Z,97,1314.34,447.02,8,2,bot
sess-bot-37,2025-09-25T16:47:57.763Z,85,403.82,427.47,1,5,bot
sess-bot-38,2025-09-25T16:47:57.766Z,58,614.10,60.96,5,5,bot
sess-bot-39,2025-09-25T16:47:57.769Z,194,1491.24,51.54,10,1,bot
sess-bot-40,2025-09-25T16:47:57.770Z,160,69.94,304.70,9,2,bot
sess-bot-41,2025-09-25T16:47:57.772Z,131,1351.30,35.20,1,1,bot
sess-bot-42,2025-09-25T16:47:57.774Z,138,716.22,112.29,4,2,bot
sess-bot-43,2025-09-25T16:47:57.775Z,86,603.00,57.79,10,3,bot
sess-bot-44,2025-09-25T16:47:57.777Z,191,364.63,342.42,6,5,bot
sess-bot-45,2025-09-25T16:47:57.779Z,196,1238.90,490.43,10,0,bot
sess-bot-46,2025-09-25T16:47:57.781Z,67,557.95,365.76,9,5,bot
sess-bot-47,2025-09-25T16:47:57.784Z,16,786.00,306.66,2,3,bot
sess-bot-48,2025-09-25T16:47:57.786Z,26,994.55,237.51,9,0,bot
sess-bot-49,2025-09-25T16:47:57.788Z,92,26.49,63.81,6,3,bot
sess-bot-50,2025-09-25T16:47:57.789Z,167,1495.93,116.76,2,5,bot
sess-bot-51,2025-09-25T16:47:57.791Z,74,219.08,373.41,8,1,bot
sess-bot-52,2025-09-25T16:47:57.793Z,194,1121.92,52.61,6,5,bot
sess-bot-53,2025-09-25T16:47:57.795Z,159,64.67,344.89,2,0,bot
sess-bot-54,2025-09-25T16:47:57.797Z,199,1327.71,174.64,1,3,bot
sess-bot-55,2025-09-25T16:47:57.801Z,33,617.05,262.79,6,4,bot
sess-bot-56,2025-09-25T16:47:57.803Z,175,144.99,274.09,10,5,bot
sess-bot-57,2025-09-25T16:47:57.805Z,70,1261.25,127.18,5,5,bot
sess-bot-58,2025-09-25T16:47:57.806Z,44,738.74,414.83,0,1,bot
sess-bot-59,2025-09-25T16:47:57.809Z,117,621.24,32.32,5,0,bot
sess-bot-60,2025-09-25T16:47:57.811Z,143,89.65,391.05,10,2,bot
sess-bot-61,2025-09-25T16:47:57.813Z,124,1453.19,492.94,4,2,bot
sess-bot-62,2025-09-25T16:47:57.815Z,83,549.42,284.09,0,0,bot
sess-bot-63,2025-09-25T16:47:57.817Z,145,446.42,449.45,2,1,bot
sess-bot-64,2025-09-25T16:47:57.819Z,184,274.75,43.71,4,5,bot
sess-bot-65,2025-09-25T16:47:57.822Z,26,839.99,328.22,1,0,bot
sess-bot-66,2025-09-25T16:47:57.824Z,58,17.57,71.36,5,2,bot
sess-bot-67,2025-09-25T16:47:57.825Z,140,247.32,180.12,10,1,bot
sess-bot-68,2025-09-25T16:47:57.828Z,80,661.83,153.38,4,0,bot
sess-bot-69,2025-09-25T16:47:57.830Z,184,1266.15,491.53,10,4,bot
sess-bot-70,2025-09-25T16:47:57.834Z,145,936.28,316.78,2,2,bot
sess-bot-71,2025-09-25T16:47:57.836Z,102,9.08,197.70,8,2,bot
sess-bot-72,2025-09-25T16:47:57.838Z,56,210.89,202.04,10,4,bot
sess-bot-73,2025-09-25T16:47:57.840Z,102,658.37,414.43,2,4,bot
sess-bot-74,2025-09-25T16:47:57.843Z,45,940.50,386.95,9,3,bot
sess-bot-75,2025-09-25T16:47:57.846Z,163,93.80,300.40,3,2,bot
sess-bot-76,2025-09-25T16:47:57.849Z,22,1418.85,368.39,2,3,bot
sess-bot-77,2025-09-25T16:47:57.852Z,145,714.77,165.93,3,0,bot
sess-bot-78,2025-09-25T16:47:57.854Z,100,1198.00,316.78,6,3,bot
sess-bot-79,2025-09-25T16:47:57.856Z,178,961.25,11.13,2,2,bot
sess-bot-80,2025-09-25T16:47:57.858Z,180,557.23,412.29,7,5,bot
sess-bot-81,2025-09-25T16:47:57.862Z,64,1046.06,325.37,8,0,bot
